stop_name,stop_id,stop_lat,stop_lon
Pierściec,75762,49.83056,18.81342
Pietrzykowice Żywieckie,76430,49.709873,19.17235
Pisary,280602,50.128586,19.68407
Pogwizdów,75630,49.80619,18.597727
Poraj,264927,50.677143,19.21867
Poronin,78980,49.34362,20.003607
Poręba,178588,50.483883,19.332548
Pruchna,75853,49.878716,18.68839
Przyszowice,69971,50.247566,18.736706
Pszczyna,75903,49.975582,18.953398
Pszczyna Czarków,69328,50.011333,18.921288
Pyrzowice Lotnisko,265126,50.46832,19.076914
Racibórz,68700,50.090294,18.226595
Racibórz Markowice,68791,50.113274,18.270111
Radlin Obszary,68460,50.041424,18.494518
Radostowice,69278,50.020695,18.888529
Radziechowy Wieprz,76745,49.647755,19.164165
Radzionków,71050,50.408947,18.914543
Radzionków Rojca,71068,50.395805,18.8998
Rajcza,76786,49.516422,19.113026
Rajcza Centrum,178278,49.50666,19.100204
Roszków Raciborski,67959,49.96525,18.294037
Ruda Chebzie,70607,50.30391,18.877792
Ruda Śląska,69849,50.315914,18.850834
Rudawa,77735,50.119034,19.720673
Rudyszwałd,67942,49.939697,18.303295
Rusinowice,72132,50.64888,18.764256
Rybnik,68205,50.088924,18.547441
Rybnik Gotartowice,68254,50.088097,18.623058
Rybnik Niedobczyce,68312,50.066475,18.494568
Rybnik Niewiadom,68296,50.069405,18.46964
Rybnik Paruszowiec,68098,50.10236,18.56485
Rybnik Piaski,68262,50.096443,18.587627
Rybnik Rymer,68056,50.0565,18.497799
Rybnik Towarowy,68007,50.06658,18.51534
Rycerka,76828,49.498257,19.081633
Rydułtowy,68320,50.068993,18.426245
Siewierz,75374,50.47995,19.24074
Skalite,179282,49.498127,18.890148
Skalite Kudlov,190034,49.49887,18.935919
Skalite Pod Pol.,190035,49.49418,18.913446
Skalite Serafinov,190033,49.501614,18.964785
Skoczów,75788,49.79355,18.790192
Skoczów Bajerki,264957,49.798264,18.80094
Skoczów Bładnice,76943,49.771423,18.778538
Sosnowiec Główny,74658,50.278786,19.126204
Sosnowiec Jęzor Południowy,280955,50.22865,19.165615
Sosnowiec Maczki,74104,50.261593,19.270054
Strumień,75879,49.910805,18.753857
Strzebiń,72157,50.617714,18.900171
Sucha Beskidzka Zamek,258708,49.74402,19.603136
Sumina,68338,50.136616,18.402317
Sumina Wieś,68379,50.12124,18.410484
Suszec,69260,50.03502,18.792221
Suszec Kopalnia,69211,50.03961,18.773773
Suszec Rudziczka,69252,50.045635,18.755102
Szczejkowice,68247,50.07971,18.671492
Szymocice,68841,50.151028,18.349829
Sól,76836,49.493793,19.051092
Sól Kiczora,76844,49.51691,19.03154
Tarnowskie Góry,71001,50.446827,18.865116
Trzebinia,77503,50.153717,19.45435
Tworków,68890,50.017197,18.248875
Tychy,73700,50.136185,18.964157
Tychy Aleja Bielska,242838,50.117115,18.982536
Tychy Grota Roweckiego,242837,50.11407,18.98616
Tychy Lodowisko,242839,50.10768,19.000523
Tychy Zachodnie,73742,50.121002,18.978878
Tychy Żwaków,75978,50.1099,18.95302
Ustroń,76950,49.728107,18.802948
Ustroń Brzegi,264959,49.709644,18.821379
Ustroń Polana,77057,49.696957,18.829908
Ustroń Zdrój,76968,49.720825,18.816301
Wadowice,78204,49.885086,19.501749
Warszowice,69294,49.989143,18.715479
Wiesiółka,75226,50.414703,19.348764
Wilkowice Bystra,76372,49.76,19.088223
Wisła Dziechcinka,77024,49.647327,18.865383
Wisła Głębce,77040,49.621803,18.875376
Wisła Jawornik,264960,49.669323,18.847277
Wisła Kopydło,77032,49.63469,18.870068
Wisła Uzdrowisko,76992,49.658386,18.854895
Wodzisław Śląski,68403,50.00784,18.476183
Wodzisław Śląski Centrum,280236,49.998177,18.46313
Wodzisław Śląski Radlin,68445,50.019684,18.480888
Wola Filipowska,77586,50.131065,19.576813
Wyry,73734,50.12446,18.911081
Węgierska Górka,76737,49.60341,19.11787
Zabierzów,80390,50.117783,19.801113
Zabierzów Rząska,236232,50.1061,19.823298
Zaborze,75770,49.870834,18.811363
Zabrze,69823,50.305305,18.78715
Zabrze Maciejów,281040,50.30662,18.747957
Zabrze Północne,69773,50.324173,18.78683
Zabrzeg,75739,49.907684,18.939075
Zakopane,79020,49.308334,19.969374
Zawiercie,75309,50.481148,19.423216
Zawiercie Borowe Pole,75341,50.510895,19.39891
Zebrzydowice,75507,49.870308,18.623695
Zwardoń,76869,49.504494,18.977837
Łaziska Górne,69054,50.159607,18.84676
Łaziska Górne Brada,69047,50.157516,18.821829
Łaziska Średnie,68163,50.13012,18.86713
Łazy,75200,50.43009,19.39202
Łodygowice,76422,49.72534,19.141006
Łodygowice Górne,76380,49.73527,19.124676
Łuków Śląski,68361,50.099903,18.409304
Świętochłowice,73148,50.28906,18.9182
Żarki Letnisko,62752,50.623615,19.27252
Żory,69203,50.05171,18.702848
Żywiec,76604,49.67983,19.18592
